ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
20790,HW133061,01/26/2013 11:55:00 PM,025XX E 73RD PL,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,true,true,0334,003,7,43,01A,1194627,1856726,2013,03/18/2019 04:08:09 PM,41.761778857,-87.562227664,"(41.761778857, -87.562227664)"
20792,HV555229,11/20/2012 07:43:00 PM,094XX S COLFAX AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0423,004,7,48,01A,1195150,1843050,2012,03/18/2019 04:08:09 PM,41.724237919,-87.560760858,"(41.724237919, -87.560760858)"
20793,HW135767,01/29/2013 07:55:00 AM,109XX S MACKINAW AVE,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,true,false,0432,004,10,52,01A,1200210,1832968,2013,03/18/2019 04:08:09 PM,41.696445942,-87.542565805,"(41.696445942, -87.542565805)"
20794,HW136079,01/29/2013 12:15:00 PM,074XX S CHAMPLAIN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0323,003,6,69,01A,1181854,1855776,2013,03/19/2019 04:11:22 PM,41.759476621,-87.609070793,"(41.759476621, -87.609070793)"
20795,HW136256,01/29/2013 02:22:00 PM,044XX S OAKENWALD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PARK PROPERTY,true,false,0222,002,4,39,01A,1185405,1875735,2013,03/19/2019 04:11:22 PM,41.814162991,-87.595428829,"(41.814162991, -87.595428829)"
20797,HW140811,02/01/2013 08:23:00 PM,039XX N CENTRAL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,VESTIBULE,false,false,1633,016,38,15,01A,1138306,1925816,2013,03/18/2019 04:08:09 PM,41.952571673,-87.766982153,"(41.952571673, -87.766982153)"
20798,HW142848,02/04/2013 01:45:00 PM,041XX W 30TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1031,010,22,30,01A,1149102,1884385,2013,03/18/2019 04:08:09 PM,41.838678033,-87.728369128,"(41.838678033, -87.728369128)"
20799,HW147939,02/07/2013 04:56:00 PM,023XX W 50TH PL,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,false,false,0931,009,16,63,01A,1161635,1871128,2013,03/19/2019 04:11:22 PM,41.802047832,-87.682747359,"(41.802047832, -87.682747359)"
20800,HW148417,02/08/2013 05:35:00 AM,009XX W 69TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0723,007,17,68,01A,1171016,1859076,2013,03/19/2019 04:11:22 PM,41.768775762,-87.648695394,"(41.768775762, -87.648695394)"
20801,HW153267,02/12/2013 02:40:00 AM,050XX W OHIO ST,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,true,false,1532,015,28,25,01A,1142461,1903523,2013,03/19/2019 04:11:22 PM,41.891320995,-87.752263308,"(41.891320995, -87.752263308)"
20803,HW158173,02/15/2013 08:16:00 PM,011XX N PULASKI RD,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1111,011,27,23,01A,1149513,1907277,2013,03/19/2019 04:11:22 PM,41.901488393,-87.726266872,"(41.901488393, -87.726266872)"
20804,HW159263,02/16/2013 06:29:00 PM,024XX W CERMAK RD,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,1034,010,25,31,01A,1160551,1889334,2013,03/19/2019 04:11:22 PM,41.852029655,-87.686219922,"(41.852029655, -87.686219922)"
20805,HW161400,02/18/2013 05:15:00 PM,091XX S ADA ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,2222,022,21,73,01A,1168932,1844237,2013,03/19/2019 04:11:22 PM,41.72810078,-87.656762001,"(41.72810078, -87.656762001)"
20806,HW163948,02/20/2013 05:35:00 PM,081XX S MARYLAND AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,0631,006,8,44,01A,1183316,1851309,2013,03/19/2019 04:11:22 PM,41.747184808,-87.603851467,"(41.747184808, -87.603851467)"
